External ID,Name,Product Type,Internal Reference,Barcode,Sales Price,Cost,Weight,Sales Description,Product Values
adams_23e4246_16_pat_50,Leva 23E4246-16-PAT,Goods,23E4246-16-PAT/50,23E424616202550PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:50,Marca:Bruno Cassini,Color:Gris"
adams_geo1982_4_50,Leva GEO1982-4,Goods,GEO1982-4/50,G19820420251250,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:50,Marca:Bruno Cassini,Color:Verde"
adams_23e4246_16_52,Leva 23E4246-16,Goods,23E4246-16/52,23E424616202552,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:52,Marca:Bruno Cassini,Color:Gris"
adams_23e4246_16_54,Leva 23E4246-16,Goods,23E4246-16/54,23E424616202554,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:54,Marca:Bruno Cassini,Color:Gris"
adams_24b11398_157_60,Leva 24B11398-157,Goods,24B11398-157/60,24B113981572560,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:60,Marca:Bruno Cassini"
adams_24b11398_157_58,Leva 24B11398-157,Goods,24B11398-157/58,24B113981572558,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:58,Marca:Bruno Cassini"
adams_24b11398_157_56,Leva 24B11398-157,Goods,24B11398-157/56,24B113981572556,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:56,Marca:Bruno Cassini"
adams_23e4246_16_pat_48,Leva 23E4246-16-PAT,Goods,23E4246-16-PAT/48,23E424616202548PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:48,Marca:Bruno Cassini,Color:Gris"
adams_23e4246_16_pat_46,Leva 23E4246-16-PAT,Goods,23E4246-16-PAT/46,23E424616202546PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:46,Marca:Bruno Cassini,Color:Gris"
adams_geo1982_1_56,Leva GEO1982-1,Goods,GEO1982-1/56,G19820120251256,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:56,Marca:Bruno Cassini,Color:Azul"
adams_23e4246_16_pat_60,Leva 23E4246-16-PAT,Goods,23E4246-16-PAT/60,23E424616202560PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:60,Marca:Bruno Cassini,Color:Gris"
adams_geo1982_4_48,Leva GEO1982-4,Goods,GEO1982-4/48,G19820420251248,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:48,Marca:Bruno Cassini,Color:Verde"
adams_hd19152_4_52,Leva HD19152-4,Goods,HD19152-4/52,HD1915204202552,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:52,Marca:Bruno Cassini"
adams_hd19152_4_54,Leva HD19152-4,Goods,HD19152-4/54,HD1915204202554,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:54,Marca:Bruno Cassini"
adams_hd19152_4_48,Leva HD19152-4,Goods,HD19152-4/48,HD1915204202548,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:48,Marca:Bruno Cassini"
adams_hd19152_23_60,Leva HD19152-23,Goods,HD19152-23/60,HD1915223202560,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:60,Marca:Bruno Cassini"
adams_hd19152_23_58,Leva HD19152-23,Goods,HD19152-23/58,HD1915223202558,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:58,Marca:Bruno Cassini"
adams_hd19152_23_56,Leva HD19152-23,Goods,HD19152-23/56,HD1915223202556,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:56,Marca:Bruno Cassini"
adams_23e4246_13_pat_56,Leva 23E4246-13-PAT,Goods,23E4246-13-PAT/56,23E424613202556PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:56,Marca:Bruno Cassini"
adams_23e4246_16_50,Leva 23E4246-16,Goods,23E4246-16/50,23E424616202550,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:50,Marca:Bruno Cassini,Color:Gris"
adams_23e4246_13_pat_60,Leva 23E4246-13-PAT,Goods,23E4246-13-PAT/60,23E424613202560PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:60,Marca:Bruno Cassini"
adams_hd19152_4_60,Leva HD19152-4,Goods,HD19152-4/60,HD1915204202560,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:60,Marca:Bruno Cassini"
adams_hd19152_4_58,Leva HD19152-4,Goods,HD19152-4/58,HD1915204202558,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:58,Marca:Bruno Cassini"
adams_23e4246_16_48,Leva 23E4246-16,Goods,23E4246-16/48,23E424616202548,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:48,Marca:Bruno Cassini,Color:Gris"
adams_23e4246_16_46,Leva 23E4246-16,Goods,23E4246-16/46,23E424616202546,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:46,Marca:Bruno Cassini,Color:Gris"
adams_hd19152_4_46,Leva HD19152-4,Goods,HD19152-4/46,HD1915204202546,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:46,Marca:Bruno Cassini"
adams_23e4246_16_pat_58,Leva 23E4246-16-PAT,Goods,23E4246-16-PAT/58,23E424616202558PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:58,Marca:Bruno Cassini,Color:Gris"
adams_hd19152_4_56,Leva HD19152-4,Goods,HD19152-4/56,HD1915204202556,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:56,Marca:Bruno Cassini"
adams_geo1982_1_46,Leva GEO1982-1,Goods,GEO1982-1/46,G19820120251246,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:46,Marca:Bruno Cassini,Color:Azul"
adams_23e4246_16_pat_56,Leva 23E4246-16-PAT,Goods,23E4246-16-PAT/56,23E424616202556PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:56,Marca:Bruno Cassini,Color:Gris"
adams_geo1982_4_56,Leva GEO1982-4,Goods,GEO1982-4/56,G19820420251256,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:56,Marca:Bruno Cassini,Color:Verde"
adams_geo1982_1_54,Leva GEO1982-1,Goods,GEO1982-1/54,G19820120251254,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:54,Marca:Bruno Cassini,Color:Azul"
adams_geo1982_4_46,Leva GEO1982-4,Goods,GEO1982-4/46,G19820420251246,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:46,Marca:Bruno Cassini,Color:Verde"
adams_23e4246_16_58,Leva 23E4246-16,Goods,23E4246-16/58,23E424616202558,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:58,Marca:Bruno Cassini,Color:Gris"
adams_23e4246_16_60,Leva 23E4246-16,Goods,23E4246-16/60,23E424616202560,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:60,Marca:Bruno Cassini,Color:Gris"
adams_geo1982_1_60,Leva GEO1982-1,Goods,GEO1982-1/60,G19820120251260,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:60,Marca:Bruno Cassini,Color:Azul"
adams_23e4246_16_56,Leva 23E4246-16,Goods,23E4246-16/56,23E424616202556,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:56,Marca:Bruno Cassini,Color:Gris"
adams_geo1982_4_52,Leva GEO1982-4,Goods,GEO1982-4/52,G19820420251252,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:52,Marca:Bruno Cassini,Color:Verde"
adams_geo1982_1_58,Leva GEO1982-1,Goods,GEO1982-1/58,G19820120251258,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:58,Marca:Bruno Cassini,Color:Azul"
adams_hd19152_23_52,Leva HD19152-23,Goods,HD19152-23/52,HD1915223202552,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:52,Marca:Bruno Cassini"
adams_hd19152_23_54,Leva HD19152-23,Goods,HD19152-23/54,HD1915223202554,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:54,Marca:Bruno Cassini"
adams_hd19152_23_50,Leva HD19152-23,Goods,HD19152-23/50,HD1915223202550,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:50,Marca:Bruno Cassini"
adams_hd19152_23_48,Leva HD19152-23,Goods,HD19152-23/48,HD1915223202548,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:48,Marca:Bruno Cassini"
adams_hd19152_23_46,Leva HD19152-23,Goods,HD19152-23/46,HD1915223202546,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:46,Marca:Bruno Cassini"
adams_geo1982_4_60,Leva GEO1982-4,Goods,GEO1982-4/60,G19820420251260,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:60,Marca:Bruno Cassini,Color:Verde"
adams_geo1982_4_54,Leva GEO1982-4,Goods,GEO1982-4/54,G19820420251254,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:54,Marca:Bruno Cassini,Color:Verde"
adams_geo1982_4_58,Leva GEO1982-4,Goods,GEO1982-4/58,G19820420251258,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:58,Marca:Bruno Cassini,Color:Verde"
adams_24b11398_157_54,Leva 24B11398-157,Goods,24B11398-157/54,24B113981572554,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:54,Marca:Bruno Cassini"
adams_24b11398_157_52,Leva 24B11398-157,Goods,24B11398-157/52,24B113981572552,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:52,Marca:Bruno Cassini"
adams_23e4246_4_pat_60,Leva 23E4246-4-PAT,Goods,23E4246-4-PAT/60,23E424604202560PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:60,Marca:Bruno Cassini,Color:Verde"
adams_23e4246_4_46,Leva 23E4246-4,Goods,23E4246-4/46,23E424604202546,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:46,Marca:Bruno Cassini,Color:Verde"
adams_23e4246_4_48,Leva 23E4246-4,Goods,23E4246-4/48,23E424604202548,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:48,Marca:Bruno Cassini,Color:Verde"
adams_23e4246_4_50,Leva 23E4246-4,Goods,23E4246-4/50,23E424604202550,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:50,Marca:Bruno Cassini,Color:Verde"
adams_23e4246_12_50,Leva 23E4246-12,Goods,23E4246-12/50,23E424612202550,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:50,Marca:Bruno Cassini"
adams_23e4246_12_48,Leva 23E4246-12,Goods,23E4246-12/48,23E424612202548,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:48,Marca:Bruno Cassini"
adams_23e4246_12_46,Leva 23E4246-12,Goods,23E4246-12/46,23E424612202546,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:46,Marca:Bruno Cassini"
adams_23e4246_4_60,Leva 23E4246-4,Goods,23E4246-4/60,23E424604202560,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:60,Marca:Bruno Cassini,Color:Verde"
adams_23e4246_4_58,Leva 23E4246-4,Goods,23E4246-4/58,23E424604202558,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:58,Marca:Bruno Cassini,Color:Verde"
adams_23e4246_4_56,Leva 23E4246-4,Goods,23E4246-4/56,23E424604202556,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:56,Marca:Bruno Cassini,Color:Verde"
adams_23e4246_4_54,Leva 23E4246-4,Goods,23E4246-4/54,23E424604202554,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:54,Marca:Bruno Cassini,Color:Verde"
adams_23e4246_4_52,Leva 23E4246-4,Goods,23E4246-4/52,23E424604202552,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:52,Marca:Bruno Cassini,Color:Verde"
adams_23e4246_12_pat_56,Leva 23E4246-12-PAT,Goods,23E4246-12-PAT/56,23E424612202556PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:56,Marca:Bruno Cassini"
adams_23e4246_12_pat_58,Leva 23E4246-12-PAT,Goods,23E4246-12-PAT/58,23E424612202558PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:58,Marca:Bruno Cassini"
adams_23e4246_12_pat_54,Leva 23E4246-12-PAT,Goods,23E4246-12-PAT/54,23E424612202554PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:54,Marca:Bruno Cassini"
adams_23e4246_12_pat_52,Leva 23E4246-12-PAT,Goods,23E4246-12-PAT/52,23E424612202552PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:52,Marca:Bruno Cassini"
adams_23e4246_12_pat_50,Leva 23E4246-12-PAT,Goods,23E4246-12-PAT/50,23E424612202550PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:50,Marca:Bruno Cassini"
adams_23e4246_4_pat_52,Leva 23E4246-4-PAT,Goods,23E4246-4-PAT/52,23E424604202552PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:52,Marca:Bruno Cassini,Color:Verde"
adams_23e4246_4_pat_50,Leva 23E4246-4-PAT,Goods,23E4246-4-PAT/50,23E424604202550PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:50,Marca:Bruno Cassini,Color:Verde"
adams_23e4246_4_pat_48,Leva 23E4246-4-PAT,Goods,23E4246-4-PAT/48,23E424604202548PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:48,Marca:Bruno Cassini,Color:Verde"
adams_23e4246_12_60,Leva 23E4246-12,Goods,23E4246-12/60,23E424612202560,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:60,Marca:Bruno Cassini"
adams_23e4246_13_pat_52,Leva 23E4246-13-PAT,Goods,23E4246-13-PAT/52,23E424613202552PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:52,Marca:Bruno Cassini"
adams_23e4246_13_pat_54,Leva 23E4246-13-PAT,Goods,23E4246-13-PAT/54,23E424613202554PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:54,Marca:Bruno Cassini"
adams_23e4246_12_56,Leva 23E4246-12,Goods,23E4246-12/56,23E424612202556,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:56,Marca:Bruno Cassini"
adams_23e4246_12_58,Leva 23E4246-12,Goods,23E4246-12/58,23E424612202558,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:58,Marca:Bruno Cassini"
adams_23e4246_12_54,Leva 23E4246-12,Goods,23E4246-12/54,23E424612202554,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:54,Marca:Bruno Cassini"
adams_23e4246_12_52,Leva 23E4246-12,Goods,23E4246-12/52,23E424612202552,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:52,Marca:Bruno Cassini"
adams_23e4246_4_pat_46,Leva 23E4246-4-PAT,Goods,23E4246-4-PAT/46,23E424604202546PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:46,Marca:Bruno Cassini,Color:Verde"
adams_23e4246_4_pat_54,Leva 23E4246-4-PAT,Goods,23E4246-4-PAT/54,23E424604202554PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:54,Marca:Bruno Cassini,Color:Verde"
adams_23e4246_4_pat_56,Leva 23E4246-4-PAT,Goods,23E4246-4-PAT/56,23E424604202556PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:56,Marca:Bruno Cassini,Color:Verde"
adams_23e4246_4_pat_58,Leva 23E4246-4-PAT,Goods,23E4246-4-PAT/58,23E424604202558PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:58,Marca:Bruno Cassini,Color:Verde"
adams_23e4246_12_pat_46,Leva 23E4246-12-PAT,Goods,23E4246-12-PAT/46,23E424612202546PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:46,Marca:Bruno Cassini"
adams_23e4246_12_pat_48,Leva 23E4246-12-PAT,Goods,23E4246-12-PAT/48,23E424612202548PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:48,Marca:Bruno Cassini"
adams_23e4246_13_pat_48,Leva 23E4246-13-PAT,Goods,23E4246-13-PAT/48,23E424613202548PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:48,Marca:Bruno Cassini"
adams_23e4246_13_pat_50,Leva 23E4246-13-PAT,Goods,23E4246-13-PAT/50,23E424613202550PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:50,Marca:Bruno Cassini"
adams_ve_ela_stp_m,VESTIDO ELA ESTAMPADO,Goods,VE-ELA-STP-M,VE-ELA-STP-M,198.17,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Vestidos,Talla:M
adams_ve_ela_stp_l,VESTIDO ELA ESTAMPADO,Goods,VE-ELA-STP-L,VE-ELA-STP-L,198.17,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Vestidos,Talla:L
adams_ve_ela_li_l,VESTIDO ELA LILA,Goods,VE-ELA-LI-L,VE-ELA-LI-L,156.43,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Vestidos,Talla:L
adams_ve_clarisa_bge_xl,VESTIDO CLARISA BEIGE,Goods,VE-CLARISA-BGE-XL,VE-CLARISA-BGE-XL,182.52,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Vestidos,Talla:XL
adams_ve_clarisa_bge_m,VESTIDO CLARISA BEIGE,Goods,VE-CLARISA-BGE-M,VE-CLARISA-BGE-M,182.52,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Vestidos,Talla:M
adams_ve_clarisa_bge_l,VESTIDO CLARISA BEIGE,Goods,VE-CLARISA-BGE-L,VE-CLARISA-BGE-L,182.52,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Vestidos,Talla:L
adams_ve_micaela_pi_xl,VESTIDO MICAELA PISTACHO,Goods,VE-MICAELA-PI-XL,VE-MICAELA-PI-XL,182.52,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Vestidos,Talla:XL
adams_ve_micaela_pi_l,VESTIDO MICAELA PISTACHO,Goods,VE-MICAELA-PI-L,VE-MICAELA-PI-L,182.52,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Vestidos,Talla:L
adams_ve_micaela_az_xl,VESTIDO MICAELA AZUL,Goods,VE-MICAELA-AZ-XL,VE-MICAELA-AZ-XL,182.52,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Vestidos,"Talla:XL,Color:Azul"
adams_ve_micaela_az_l,VESTIDO MICAELA AZUL,Goods,VE-MICAELA-AZ-L,VE-MICAELA-AZ-L,182.52,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Vestidos,"Talla:L,Color:Azul"
adams_ve_micaela_az_m,VESTIDO MICAELA AZUL,Goods,VE-MICAELA-AZ-M,VE-MICAELA-AZ-M,182.52,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Vestidos,"Talla:M,Color:Azul"
adams_ve_whit_bge_xl,VESTIDO WHITNEY BEIGE CIRCULOS,Goods,VE-WHIT-BGE-XL,VE-WHIT-BGE-XL,172.09,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Vestidos,Talla:XL
adams_ve_whit_bge_l,VESTIDO WHITNEY BEIGE CIRCULOS,Goods,VE-WHIT-BGE-L,VE-WHIT-BGE-L,172.09,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Vestidos,Talla:L
adams_ve_carson_mus_m,VESTIDO CARSON MUSTARD,Goods,VE-CARSON-MUS-M,VE-CARSON-MUS-M,156.43,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Vestidos,Talla:M
adams_ve_carson_mus_l,VESTIDO CARSON MUSTARD,Goods,VE-CARSON-MUS-L,VE-CARSON-MUS-L,156.43,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Vestidos,Talla:L
adams_ve_carson_vn_xl,VESTIDO CARSON VINO,Goods,VE-CARSON-VN-XL,VE-CARSON-VN-XL,156.43,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Vestidos,"Talla:XL,Color:Vino"
adams_ve_carson_vn_l,VESTIDO CARSON VINO,Goods,VE-CARSON-VN-L,VE-CARSON-VN-L,156.43,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Vestidos,"Talla:L,Color:Vino"
adams_set_chris_wh_xl,SET CHRISTINE WHITE,Goods,SET-CHRIS-WH-XL,SET-CHRIS-WH-XL,166.87,0.00,0.0,Categoría sugerida: Sin Categoria,"Talla:XL,Color:Blanco"
adams_set_chris_wh_m,SET CHRISTINE WHITE,Goods,SET-CHRIS-WH-M,SET-CHRIS-WH-M,166.87,0.00,0.0,Categoría sugerida: Sin Categoria,"Talla:M,Color:Blanco"
adams_set_chris_wh_l,SET CHRISTINE WHITE,Goods,SET-CHRIS-WH-L,SET-CHRIS-WH-L,166.87,0.00,0.0,Categoría sugerida: Sin Categoria,"Talla:L,Color:Blanco"
adams_set_meg_ylw_l,SET MEGHAN YELLOW,Goods,SET-MEG-YLW-L,SET-MEG-YLW-L,208.61,0.00,0.0,Categoría sugerida: Sin Categoria,Talla:L
adams_pt_25c29118_10_32,Pantalon PT-25C29118-10,Goods,PT-25C29118-10/32,PT-25C29118-10/32,47.74,0.00,0.0,Categoría sugerida: Ropa / Hombres / Pantalones,"Talla:32,Marca:Bruno Cassini"
adams_zp_0907_brw_10,Zapato ZP-0907-BRW,Goods,ZP-0907-BRW/10,ZP-0907-BRW/10,152.09,0.00,0.0,Categoría sugerida: Ropa / Hombres / Zapatos,"Talla:10,Marca:Bruno Cassini"
adams_zp_0907_brw_9_5,Zapato ZP-0907-BRW,Goods,ZP-0907-BRW/9.5,ZP-0907-BRW/9.5,152.09,0.00,0.0,Categoría sugerida: Ropa / Hombres / Zapatos,"Talla:9.5,Marca:Bruno Cassini"
adams_zp_0907_brw_9,Zapato ZP-0907-BRW,Goods,ZP-0907-BRW/9,ZP-0907-BRW/9,152.09,0.00,0.0,Categoría sugerida: Ropa / Hombres / Zapatos,"Talla:9,Marca:Bruno Cassini"
